CAS登録番号,物質名称,ニトリルゴム (0.1 mm),ニトリルゴム (0.11 mm),ニトリルゴム (0.12 mm),ニトリルゴム (0.13 mm),ニトリルゴム (0.2 mm),ニトリルゴム (0.3 mm),ニトリルゴム (0.38 mm),ニトリルゴム (0.45 mm),ニトリルゴム (0.46 mm),天然ゴム（ラテックス） (0.23 mm),ブチルゴム (0.35 mm),クロロプレンゴム (0.18 mm),クロロプレンゴム (0.45 mm),ポリビニルアルコール（PVA）,クロロスルホン化ポリエチレン（CSM） (0.9 mm),ポリ塩化ビニル,ウレタン (0.5 mm),フッ素ゴム/ブチルゴム (0.3 mm),クロロプレン/天然ゴム (0.68 mm),クロロプレン/天然ゴム (0.7 mm),ニトリル/ネオプレンゴム (0.2 mm),ニトリル/ネオプレンゴム (0.38 mm),ポリ塩化ビニル/ニトリルゴム,多層フィルム（LLDPE） (0.062 mm),多層フィルム（EVOH） (0.06 mm),その他多層/複層フィルム
1910-42-5,１，１’－ジメチル－４，４’－ビピリジニウム＝ジクロリド（別名パラコートジクロリド）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1912-24-9,２－クロロ－４－エチルアミノ－６－イソプロピルアミノ－１，３，５－トリアジン（別名アトラジン）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
1948-33-0,２－ターシャリ－ブチルヒドロキノン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2074-50-2,パラコートジメチルサルフェート,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2104-64-5,Ｏ－エチル＝Ｏ－４－ニトロフェニル＝フェニルホスホノチオアート（別名EPN）,2,,,,2,3,,3,,2,3,2,,3,,,,3,3,,3,,3,3,,
2179-59-1,アリル－ノルマル－プロピルジスルフィド,0,,,,0,1,,1,,0,1,0,,3,,,,2,0,,0,,1,3,3,
2210-79-9,ｏ－クレジルグリシジルエーテル  (別名２，３－ｅｐｏｘｙｐｒｏｐｙｌ　ｏ－ｔｏｌｙｌ　ｅｔｈｅｒ）,0,,,,1,1,,1,,,3,2,,,,,,3,3,,0,,1,3,,
2234-13-1,オクタクロロナフタレン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2243-62-1,１，５－ジアミノナフタレン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2403-88-5,２，２，６，６－テトラメチルピペリジン－４－オール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2425-06-1,Ｎ－（１，１，２，２－テトラクロロエチルチオ）－１，２，３，６－テトラヒドロフタルイミド【キャプタフォル】,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,
2425-79-8,１，４－ブタンジオールジグリシジルエーテル,3,,,,3,3,,3,,0,3,0,,3,,,,3,1,,2,,2,3,,3
2426-08-6,ノルマル-ブチル＝２，３－エポキシプロピルエーテル,0,,,,0,1,,1,,0,2,0,,3,,,,2,1,,1,,1,3,3,
2431-50-7,２，３，４－トリクロロ－１－ブテン,0,,,,0,0,,0,,0,0,0,,3,,,,2,0,,0,,0,1,3,
2439-01-2,６－メチル－１，３－ジチオロ［４，５－ｂ］キノキサリン－２－オン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,
2439-10-3,１－ドデシルグアニジニウム＝アセタート（別名ドジン）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,
2439-35-2,アクリル酸２－（ジメチルアミノ）エチル,0,,,,1,1,,2,,0,3,0,,3,,,,2,1,,1,,0,3,,
2451-62-9,１，３，５－トリス（２，３－エポキシプロピル）－１，３，５－トリアジン－２，４，６（１Ｈ，３Ｈ，５Ｈ）－トリオン（別名トリグリシジルイソシアヌレート）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2475-45-8,１，４，７，８－テトラアミノアントラキノン（別名ジスパースブルー１）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2524-03-0,クロロチオホスホン酸＝Ｏ，Ｏ －ジメチル,0,,,,0,0,,0,,0,3,0,,0,,,,,0,,0,,0,,,
2524-04-1,ジエチルチオリン酸クロリド,0,,,,0,0,,0,,0,3,0,,0,,,,,0,,0,,0,,,
2528-36-1,りん酸ジ－ノルマル－ブチル＝フェニル,,0,,,1,1,,2,,0,2,0,,,,,,2,1,,1,,0,3,3,
2530-83-8,２－｛［３－（トリメトキシシリル）プロポキシ］メチル｝オキシラン,2,,,,2,3,,3,,,3,2,,,,,,3,2,,2,,2,3,,
2579-20-6,１，３－ビス（アミノメチル）シクロヘキサン,0,,,,1,1,,2,,0,3,1,,0,,,,3,2,,2,,1,3,3,
2581-34-2,４－ニトロ－メタ－クレゾール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2593-15-9,５－エトキシ－３－トリクロロメチル－１，２，４－チアジアゾール,,,,,,,,,,,,,,,,,,,,,,,,,,
2634-33-5,１，２－ベンゾチアゾリン－３－オン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2698-41-1,２－クロロベンジリデンマロノニトリル,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2768-02-7,ビニルトリメトキシシラン,,,,,,,,,,,,,,,,,,,,,,,,,,
2797-51-5,２－アミノ－３－クロロ－１，４－ナフトキノン（別名キノクラミン（ＡＣＮ））,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2807-30-9,２－プロポキシエタノール,1,,,,1,2,,3,,1,3,1,,2,,,,3,2,,1,,1,3,,3
2809-21-4,１－ヒドロキシエタン－１，１－ジイルビス（ホスホン酸）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2832-40-8,Ｎ－［４－［（２－ヒドロキシ－５－メチルフェニル）アゾ］フェニル］アセトアミド（別名ＣＩソルベントイエロー７７、ＣＩディスパースイエロー３）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2835-95-2,２－メチル－５－アミノフェノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
2855-13-2,イソホロンジアミン,1,,,,2,3,,3,,0,3,0,,3,,,,3,0,,3,,3,3,3,3
2867-47-2,２－（ジメチルアミノ）エチル＝メタクリラート,1,,,,1,2,,2,,0,3,1,,3,,,,2,1,,1,,0,3,3,
2921-88-2,チオりん酸Ｏ，Ｏ－ジエチル－Ｏ－（３，５，６－トリクロロ－２－ピリジル）（別名クロルピリホス）,2,,,,2,3,,3,,1,3,2,,3,,,,3,3,,3,,3,3,,3
3033-62-3,ビス（２－ジメチルアミノエチル）エーテル,1,,,,1,2,,3,,0,3,1,,3,,,,2,1,,1,,0,3,3,
3173-72-6,１，５－ナフタレン ジイソシアネート,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
3228-02-2,４－イソプロピル－３－メチルフェノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
3268-49-3,３－メチルチオプロパナール,0,,,,0,1,,1,,0,3,0,,0,,,,2,1,,0,,0,3,3,3
3282-30-2,２，２－ジメチルプロパノイルクロライド,0,,,,0,1,,1,,0,0,0,,1,,,,1,0,,0,,0,2,,
3333-52-6,テトラメチルコハク酸ニトリル,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
3347-22-6,２，３－ジシアノ－１，４－ジチアアントラキノン （別名ジチアノン）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
3383-96-8,テメホス,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
3524-68-3,ペンタエリスリトールトリアクリレート,1,,,,2,3,,3,,0,3,2,,3,,,,3,1,,2,,2,3,,
3689-24-5,オキシビス（チオホスホン酸）Ｏ，Ｏ，Ｏ’，Ｏ’－テトラエチル【スルホテップ】,0,,,,0,1,,1,,0,1,0,,,,,,1,0,,0,,0,3,,
3766-81-2,２－ｓ－ブチルフェニルＮ－メチルカーバメート,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
3811-73-2,ナトリウム＝１－オキソ－１λ（５）－ピリジン－２－チオラート,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
3825-26-1,ペンタデカフルオロオクタン酸アンモニウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
3861-47-0,３，５－ジヨード－４－オクタノイルオキシベンゾニトリル,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
4074-88-8,２，２’－オキシジエチル ジアクリラート；ジエチレングリコール ジアクリラート,1,,,,1,2,,2,,0,3,0,,3,,,,,0,,1,,,3,3,
4098-71-9,３－イソシアナトメチル－３，５，５－トリメチルシクロヘキシル＝イソシアネート,1,,,,1,2,,3,,1,3,1,,3,,,,3,2,,3,,3,3,,3
4109-96-0,ジクロロシラン（二塩化シラン）,0,,,,1,1,,,1,0,0,0,,3,,,,2,0,,1,,1,3,,3
4170-30-3,２－ブテナール（別名クロトンアルデヒド（（Ｅ）－２－ブテナールと（Ｚ）－２－ブテナールの異性体混合物））,0,,,,0,0,,1,,0,2,0,,0,,,,2,1,,0,,0,3,3,3
4253-34-3,メチルシラントリイル＝トリアセタート,1,,,,1,3,,3,,1,3,1,,3,,,,3,3,,2,,3,3,,
4685-14-7,１，１’－ジメチル－４，４’－ビピリジニウム（別名パラコート）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
4719-04-4,２－［３，５－ビス（２－ヒドロキシエチル）－１，３，５－トリアジナン－１－イル］エタノール；１，３，５－トリアジン－１，３，５（２Ｈ，４Ｈ，６Ｈ）－トリエタノール,3,,,,3,3,,3,,2,3,2,,3,,,,3,3,,3,,3,3,,
5124-30-1,メチレンビス（４，１－シクロヘキシレン）＝ジイソシアネート（再分類）,2,,,,2,3,,3,,0,3,1,,3,,,,3,2,,3,,1,3,,3
5216-25-1,ｐ－（トリクロロメチル）クロロベンゼン（別名ｐ－クロロベンゾトリクロリド）,0,,,,0,0,,1,,0,0,0,,3,,,,2,0,,0,,0,3,3,3
5332-73-0,３－メトキシプロピルアミン,0,,,,0,1,,,1,0,3,0,,1,,,,3,0,,1,,0,3,,
5392-40-5,３，７－ジメチル－２，６－オクタジエナール（別名シトラール）,0,,,,0,1,,1,,0,3,0,,1,,,,2,1,,0,,0,3,3,
5421-46-5,チオグリコール酸アンモニウム,,,,,,,,,,,,,,,,,,,,,,,,,,
5470-11-1,塩酸ヒドロキシルアミン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,
5810-88-8,ジ（２－エチルヘキシル）ジチオホスフェート,0,,,,1,1,,,1,,2,,,,,,,3,,,1,,,3,,
5827-05-4,アフィダン,0,,,,0,1,,1,,0,1,0,,,,,,1,0,,0,,0,3,,
5873-54-1,２，４’－ジフェニルメタンジイソシアネート,2,,,,3,3,,3,,3,3,2,,3,,,,3,3,,3,,3,3,3,
5989-27-5,（４Ｒ）－パラ－メンタ－１，８－ジエン（別名ｄ－リモネン）,1,,,,1,2,,3,,0,0,0,,3,,1,,3,1,,2,,2,3,3,3
6147-53-1,酢酸コバルト（Ⅱ）・四水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
6259-76-3,ヘキシル＝２－ヒドロキシベンゾアート（別名：サリチル酸ヘキシル）,,,,,,,,,,,,,,,,,,,,,,,,,,
6317-18-6,メチレンビスチオシアネート,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
6423-43-4,二硝酸プロピレン,0,,,,0,0,,0,,0,0,0,,3,,,,1,0,,0,,0,3,3,
6449-00-9,炭酸クロム,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
6485-40-1,Ｌ－カルボン,,0,,,1,1,,2,,0,3,0,,3,,,,3,1,,1,,2,3,3,
6834-92-0,ジナトリウム ジオキシド（オキソ）シラン；メタけい酸ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
6864-37-5,４，４’－メチレンビス（２－メチルシクロヘキサンアミン）,1,,,,2,3,,3,,0,3,2,,3,,,,3,2,,3,,3,3,3,
6923-22-4,りん酸ジメチル＝（Ｅ）－１－メチル－２－（Ｎ－メチルカルバモイル）ビニル,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7173-51-5,ジデシルジメチルアンモニウムクロリド,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7439-93-2,金属「リチウム」,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7440-02-0,ニッケル,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7440-06-4,白金,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7440-09-7,金属「カリウム」,3,,,,3,3,,3,,3,3,3,,3,,,,,3,,3,,3,3,3,
7440-16-6,ロジウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7440-22-4,銀,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7440-23-5,金属「ナトリウム」,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7440-28-0,タリウム及びその化合物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7440-47-3,金属クロム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7440-50-8,銅,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7440-61-1,ウラン,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
7440-70-2,カルシウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7446-19-7,硫酸亜鉛一水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7446-20-0,硫酸亜鉛七水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7446-70-0,塩化アルミニウム,3,,,,3,3,,3,,3,3,3,,3,,3,,3,3,,3,,3,3,3,
7447-39-4,塩化銅（Ⅱ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7488-55-3,硫酸第一スズ,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7553-56-2,沃素,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,0
7580-67-8,水素化リチウム,,,,,,,,,,,3,,,,,,,3,,,,,,,,
7601-54-9,リン酸三ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7601-90-3,過塩素酸,0,,,,1,2,,2,,1,3,1,,0,,,,3,3,,1,,2,3,3,3
7632-04-4,過ホウ酸ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,
7632-51-1,塩化バナジウム（Ⅳ）,3,,,,3,3,,3,,0,3,1,,3,,,,3,1,,3,,3,3,3,3
7637-07-2,三フッ化ほう素,0,,,,0,0,,0,,0,1,0,,0,,,,3,0,,0,,0,0,,3
7646-69-7,水素化ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7646-78-8,塩化第ニスズ,2,,,,2,3,,3,,0,3,1,,3,,,,3,1,,3,,1,3,3,
7646-85-7,塩化亜鉛,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7646-93-7,硫酸水素カリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7647-18-9,塩化アンチモン（Ⅴ）,1,,,,2,3,,3,,2,1,2,,,,,,1,3,,2,,1,,,3
7659-86-1,チオグリコール酸 ２－エチルヘキシル,1,,,,1,2,,3,,,3,1,,,,,,3,2,,1,,2,,,
7664-38-2,りん酸,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
7681-49-4,フッ化ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
7681-52-9,次亜塩素酸ナトリウム（有効塩素濃度：６～１５％の水溶液）,3,,,,3,3,,3,,2,3,3,,3,3,,,3,3,,3,,3,3,3,3
7681-57-4,二亜硫酸ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
7705-07-9,三塩化チタン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,
7705-08-0,塩化鉄（Ⅲ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
7718-54-9,塩化ニッケル,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7718-98-1,三塩化バナジウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7719-09-7,塩化チオニル,0,,,,0,0,,0,,0,2,0,,2,,,,2,0,,0,,0,2,,3
7719-12-2,三塩化りん,0,,,,0,1,,1,,0,0,0,,,,,,2,0,,0,,0,3,,3
7722-84-1,過酸化水素,,,,,,,,,,,,,,,,,,,,,,,,,,3
7722-84-1,過酸化水素（35%）,,0,,,3,3,,3,,3,3,3,,0,,,,3,3,,2,,3,3,,3
7722-84-1,過酸化水素（50%）,,0,,,3,3,,3,,3,3,2,,0,,,,3,3,,2,,2,3,,3
7726-95-6,臭素,0,,,,0,0,,,0,0,0,0,,1,,,,2,0,,0,,0,1,,3
7727-18-6,オキシ三塩化バナジウム,,,,,,,,,,,,,,,,,,,,,,,,,,
7727-21-1,ペルオキソ二硫酸カリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7727-54-0,ペルオキソ二硫酸アンモニウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7733-02-0,硫酸亜鉛,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7758-89-6,塩化第一銅,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7758-95-4,塩化鉛（Ⅱ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7758-98-7,硫酸銅（Ⅱ）・無水物,3,,,,3,3,,3,,3,3,3,,0,,,,3,3,,3,,3,3,3,3
7758-99-8,硫酸銅（Ⅱ）・五水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7761-88-8,硝酸銀（Ⅰ）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
7775-27-1,ペルオキシ二硫酸二ナトリウム／ペルオキソ二硫酸ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7778-53-2,リン酸三カリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7778-54-3,次亜塩素酸カルシウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7778-66-7,次亜塩素酸カリウム,3,,,,3,3,,3,,3,3,3,,0,,,,3,3,,3,,3,3,3,
7783-00-8,亜セレン酸,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7783-60-0,四フッ化イオウ,,,,,,,,,,,,,,,,,,,,,,,,,,
7783-79-1,フッ化セレン（Ⅵ）,,,,,,,,,,,,,,,,,,,,,,,,,,
7786-34-7,りん酸ジメチル＝１－メトキシカルボニル－１－プロペン－２－イル（別名メビンホス）,0,,,,0,0,,1,,0,3,0,,2,,,,2,1,,0,,0,3,,
7786-81-4,硫酸ニッケル,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7789-21-1,フルオロスルホン酸,0,,,,0,0,,0,,0,1,0,,,,,,1,1,,0,,0,3,,3
7789-30-2,五弗化臭素,,,,,,,,,,,,,,,,,,,,,,,,,,
7790-91-2,三弗化塩素,0,,,,0,0,,0,,0,0,0,,0,,,,0,0,,0,,0,0,,
7790-94-5,クロルスルホン酸,0,,,,0,0,,0,,0,1,0,,,,,,1,1,,0,,0,3,,3
7791-08-4,次亜塩素酸アンチモン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,
7791-20-0,塩化ニッケル六水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
7791-25-5,スルフリルクロライド,2,,,,2,3,,,0,0,0,,0,,,,,0,0,,3,,1,3,,3
7803-49-8,ヒドロキシルアミン（50%）,3,,,,3,3,,3,,3,3,3,,0,,,,3,3,,3,,3,3,,
7803-57-8,ヒドラジン一水和物,1,,,,1,3,,3,,1,3,2,,0,,,,3,3,,2,,3,3,,3
8001-35-2,塩素化カンフェン（別名トキサフェン）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
8001-54-5,塩化ベンザルコニウム,1,,,,2,3,,3,,0,3,2,,3,,,,3,3,,2,,3,3,3,
8001-58-9,クレオソート油,3,,,,3,3,,3,,0,1,,,3,,,,3,1,,3,,1,3,3,
8003-34-7,ピレトラム,,,,0,1,2,,2,,0,0,0,,3,,,,3,1,,1,,2,3,3,
8006-64-2,テレピン油,1,,,,1,3,,3,,0,0,0,,3,,,,3,1,,2,,2,3,3,3
8008-20-6,灯油,1,,,,1,2,,,2,0,0,1,,3,,,,3,1,,2,,2,3,3,3
8014-95-7,発煙硫酸,0,,,,0,1,,,1,2,2,,1,0,,,,3,2,,1,,2,3,,3
8022-00-2,ジメチルエチルメルカプトエチルチオホスフェイト【メチルジメトン】,0,,,,0,0,,1,,0,2,0,,,,,,1,0,,0,,0,3,,
8050-09-7,ロジン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
8052-42-4,アスファルト （ストレートアスファルト）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
8065-48-3,チオりん酸Ｏ，Ｏ－ジエチル－エチルチオエチル（別名ジメトン）,0,,,,0,0,,1,,0,2,0,,,,,,1,0,,0,,0,3,,
9002-07-7,トリプシン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
9004-07-3,キモトリプシン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,
9014-01-1,サチライシン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,
9016-87-9,α－（イソシアナトベンジル）－ω－（イソシアナトフェニル）ポリ［（イソシアナトフェニレン）メチレン］,2,,,,3,3,,3,,2,3,2,,3,,,,3,3,,3,,3,3,,3
10025-67-9,一塩化硫黄,0,,,,1,2,,2,,0,0,0,,2,,,,1,0,,1,,1,0,,3
10025-73-7,塩化第二クロム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10025-78-2,トリクロロシラン,0,,,,0,1,,1,,0,0,0,,3,,,,2,0,,1,,1,3,,3
10025-87-3,塩化ホスホリル,0,,,,0,0,,0,,0,2,0,,0,,,,1,0,,0,,0,3,,3
10026-04-7,テトラクロロシラン,3,,,,3,3,,3,,0,0,0,,3,,,,1,0,,2,,2,3,,3
10026-13-8,五塩化りん,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,,3
10031-43-3,硝酸銅（Ⅱ）・三水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10034-85-2,ヨウ化水素,,,,,,,,,,,,,,,,,,,,,,,,,,3
10034-93-2,硫酸ヒドラジン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10035-10-6,臭化水素,0,,,,0,1,,1,,,3,1,,,,,,3,2,,1,,1,3,,3
10039-54-0,硫酸ビス（ヒドロキシルアンモニウム）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10043-52-4,塩化カルシウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
10060-12-5,塩化クロム（Ⅲ）・六水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10101-53-8,硫酸クロム（Ⅲ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10101-97-0,硫酸ニッケル六水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10102-45-1,硝酸タリウム（Ⅰ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10213-79-3,ケイ酸ジナトリウム 五水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10222-01-2,２，２－ジブロモ－２－シアノアセトアミド【２，２－ジブロモ－３－ニトリロプロピオンアミド】,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
10233-03-1,次亜塩素酸マグネシウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10294-33-4,三臭化ほう素,0,,,,0,0,,0,,0,0,0,,,,,,1,1,,0,,0,,,
10294-34-5,三塩化ホウ素,0,,,,0,0,,0,,0,0,0,,0,,,,1,0,,0,,0,0,,3
10332-33-9,過ホウ酸ナトリウム一水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10380-28-6,ビス（８－キノリノラト）銅 （別名オキシン銅）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10486-00-7,過ホウ酸ナトリウム四水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
10544-72-6,四酸化二窒素,,,,,,,,,,,,,,,,,,,,,,,,,,3
10545-99-0,二塩化硫黄,,,,,,,,,,,,,,,,,,,,,,,,,,3
10584-98-2,ジブチルスズビス（２－エチルヘキシルチオグリコレート）,,1,,,2,3,,3,,,2,2,,,,,,3,2,,2,,2,,3,
10605-21-7,メチル＝ベンゾイミダゾール－２－イルカルバメート（別名カルベンダジム）,,,,,,,,,,,,,,,,,,,,,,,,,,
11070-44-3,テトラヒドロメチル無水フタル酸,2,,,,2,3,,3,,0,3,0,,3,,,,3,1,,2,,1,3,3,
11135-81-2,カリウムナトリウム合金,,,,,,,,,,,3,,,,,,,3,,,,,,,,
11138-47-9,過ホウ酸のナトリウム塩,,,,,,,,,,,,,,,,,,,,,,,,,3,
12035-36-8,酸化ニッケル（Ⅳ）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
12035-72-2,亜硫化ニッケル（別名二硫化三ニッケル）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
12040-72-1,（過ホウ酸のナトリウム塩）水和物（ナトリウム数不定の一水和物）,,,,,,,,,,,,,,,,,,,,,,,,,3,
12054-48-7,水酸化ニッケル（Ⅱ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
12062-24-7,六フッ化ケイ酸銅（Ⅱ）（別名ケイフッ化銅）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
12122-67-7,Ｎ，Ｎ’－エチレンビス（ジチオカルバミン酸）亜鉛（別名ジネブ）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
12185-10-3,黄りん,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
12230-71-6,水酸化バリウム八水和物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
12427-38-2,Ｎ，Ｎ’－エチレンビス（ジチオカルバミン酸）マンガン（別名マンネブ）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
