CAS登録番号,物質名称,ニトリルゴム (0.1 mm),ニトリルゴム (0.11 mm),ニトリルゴム (0.12 mm),ニトリルゴム (0.13 mm),ニトリルゴム (0.2 mm),ニトリルゴム (0.3 mm),ニトリルゴム (0.38 mm),ニトリルゴム (0.45 mm),ニトリルゴム (0.46 mm),天然ゴム（ラテックス） (0.23 mm),ブチルゴム (0.35 mm),クロロプレンゴム (0.18 mm),クロロプレンゴム (0.45 mm),ポリビニルアルコール（PVA）,クロロスルホン化ポリエチレン（CSM） (0.9 mm),ポリ塩化ビニル,ウレタン (0.5 mm),フッ素ゴム/ブチルゴム (0.3 mm),クロロプレン/天然ゴム (0.68 mm),クロロプレン/天然ゴム (0.7 mm),ニトリル/ネオプレンゴム (0.2 mm),ニトリル/ネオプレンゴム (0.38 mm),ポリ塩化ビニル/ニトリルゴム,多層フィルム（LLDPE） (0.062 mm),多層フィルム（EVOH） (0.06 mm),その他多層/複層フィルム
115-29-7,６，７，８，９，１０，１０－ヘキサクロロ－１，５，５ａ，６，９，９ａ－ヘキサヒドロ－６，９－メタノ－２，４，３－ベンゾジオキサチエピン＝３－オキシド　  (別名エンドスルファン）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
115-90-2,チオりん酸Ｏ，Ｏ－ジエチル－Ｏ－［４－（メチルスルフィニル）フェニル］（別名フェンスルホチオン）,0,,,,1,3,,3,,0,3,0,,,,,,3,0,,1,,1,3,,
115-95-7,酢酸リナリル,0,,,,0,0,,,0,0,1,0,,3,,,,0,0,,0,,0,3,3,
117-08-8,テトラクロロフタル酸無水物,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
117-81-7,フタル酸ビス（２－エチルヘキシル）,2,,,,3,3,,3,,1,3,2,,1,,,,3,3,,3,,3,3,3,3
118-52-5,１，３－ジクロロ－５，５－ジメチルイミダゾリジン－２，４－ジオン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
118-74-1,ヘキサクロロベンゼン,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
118-75-2,２，３，５，６－テトラクロロ－パラ－ベンゾキノン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
118-79-6,２，４，６－トリブロモフェノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
118-96-7,２，４，６－トリニトロトルエン,,,,,,,,,,,,,,,,,,,,,,,,,3,
119-12-0,チオりん酸Ｏ，Ｏ－ジエチル－Ｏ－（６－オキソ－１－フェニル－１，６－ジヒドロ－３－ピリダジニル,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
119-36-8,メチル＝２－ヒドロキシベンゾアート（別名サリチル酸メチル）,0,,,,1,1,,1,,0,3,1,,,,,,3,2,,1,,1,3,,3
119-38-0,イソラン,2,,,,2,2,,3,,1,3,2,,,,,,3,2,,2,,2,3,,
120-12-7,アントラセン,1,,,,2,3,,3,,0,3,2,,3,,,,3,3,,3,,2,3,3,
120-32-1,２－ベンジル－４－クロロフェノール （別名クロロフェン）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
120-36-5,２－（２，４－ジクロロフェノキシ）プロピオン酸（別名ジクロルプロップ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
120-78-5,ジ（ベンゾチアゾール－２－イル）ジスルフィド（別名ＭＢＴＳ）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
120-80-9,カテコール（別名ピロカテコール）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
120-83-2,２，４－ジクロロフェノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
121-03-9,２－メチル－５－ニトロベンゼンスルホン酸,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
121-44-8,トリエチルアミン,,,0,,1,3,,3,,0,2,0,,3,,,,3,0,,3,,2,3,3,3
121-57-3,４－アミノベンゼンスルホン酸,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
121-69-7,Ｎ，Ｎ－ジメチルアニリン,0,,,,0,1,,1,,0,1,1,,3,,,,3,1,,0,,0,3,3,3
121-75-5,ジチオりん酸Ｏ，Ｏ－ジメチル－Ｓ－１，２－ビス（エトキシカルボニル）エチル　（別名：マラチオン）,0,,,,0,,1,2,,0,2,0,,,,,,3,1,,1,,1,3,,3
121-79-9,プロピル＝３，４，５－トリヒドロキシベンゾアート,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
121-82-4,ヘキサヒドロ－１，３，５－トリニトロ－１，３，５－トリアジン（１５質量％の水で湿性としたものに限る）,3,,,,3,3,,3,,2,3,3,,3,,,,3,3,,3,,3,3,3,
122-14-5,チオリン酸Ｏ，Ｏ－ジメチル－Ｏ－（３－メチル－４－ニトロフェニル）（別名フェニトロチオン）,0,,,,1,2,,3,,0,3,0,,,,,,3,0,,1,,1,3,,
