,表示用,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,8時間,,短時間,,,,許容濃度,,最大許容濃度,,,,,TWA,,STEL,,C,,,,,MAK,,Peak lim,,,,,,,,,水溶解度,,蒸気圧,,,,,,特化則,特化則,特化則,特化則,有機則,有機則,有機則,鉛則,四アルキル鉛中毒予防規則
CAS RN,Text,日本語名称,英語名称,GHS分類結果_ID,爆発物,可燃性ガス,エアゾール,酸化性ガス,高圧ガス,引火性液体,可燃性固体,自己反応性化学品,自然発火性液体,自然発火性固体,自己発熱性化学品,水反応可燃性化学品,酸化性液体,酸化性固体,有機過酸化物,金属腐食性化学品,鈍性化爆発物,急性毒性（経口）,急性毒性（経皮）,急性毒性（吸入：ガス）,急性毒性（吸入：蒸気）,急性毒性（吸入：粉塵、ミスト）,皮膚腐食性／刺激性,眼に対する重篤な損傷性／眼刺激性,呼吸器感作性,皮膚感作性,生殖細胞変異原性,発がん性,生殖毒性,特定標的臓器毒性（単回暴露）,特定標的臓器毒性（反復暴露）,誤えん有害性,水生環境有害性　短期（急性）,水生環境有害性　長期（慢性）,オゾン層への有害性,詳細情報（NITE HP　GHS分類結果）,モデルラベル掲載ページURL,モデルＳＤＳ掲載ページURL,ppm,mg/m3,ppm,mg/m3,備考,年度,ppm,mg/m3,ppm,mg/m3,備考,皮膚吸収,提案年度,ppm,mg/m3,ppm,mg/m3,ppm,mg/m3,備考,Skin,ドキュメンテーション採用年,ppm,mg/m3,ppm,mg/m3,備考,ドキュメンテーション採用年,"性状
液体:1、固体:2、気体:3",分子量,沸点,水／オクタノール分配係数（logKow）,引火点,値,単位,値,単位,皮膚等障害化学物質,がん原性物質,濃度基準値設定物質,皮膚等障害化学物質の裾切値,第１類,第２類,第３類,裾切,第１類,第２類,第３類,,
3030-47-5,ビス［2‐（ジメチルアミノ）エチル］メチルアミン,ビス［2‐（ジメチルアミノ）エチル］メチルアミン,bis(2-dimethylaminoethyl)(methyl)amine,m-nite-3030-47-5,,,,,,3,,,,,,,,,,,,4,3,,,4,1B,1,,,,,,3,2,,3,3,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3030-47-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3030-47-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3030-47-5.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,173.3,198,-0.57,77,1000000,mg/L,,,1,,,1,,,,,,,,,
3033-62-3,ビス（2-ジメチルアミノエチル）エーテル,ビス（2-ジメチルアミノエチル）エーテル,"Ethanamine, 2,2'-oxybis[N,N-dimethyl-",m-nite-3033-62-3,,,,,,4,,,,,,,,,,,,4,3,,2,,1,1,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3033-62-3.html,-,https://anzeninfo.mhlw.go.jp/anzen/gmsds/0903.html,,,,,,,,,,,,,,0.05,,0.15,,,,,Skin,2000,,,,,,,1,160.26,189.2,,,,,37,Pa,1,,,1,,,,,,,,,
3048-64-4,5-ビニル-2-ノルボルネン,5-ビニル-2-ノルボルネン,5-Vinyl-2-norbornene,m-nite-3048-64-4,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3048-64-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3048-64-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3048-64-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,120.19,139,3.62,27,24,mg/L,9.81,mmHg,,,,,,,,,,,,,
3048-65-5,"3a,4,7,7a-テトラヒドロ-1H-インデン","3a,4,7,7a-テトラヒドロ-1H-インデン","3a,4,7,7a-Tetrahydro-1H-indene",m-nite-3048-65-5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3048-65-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3048-65-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3048-65-5.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,120.19,160,3.28,38,46,mg/L,3.01,mmHg,,,,,,,,,,,,,
3068-88-0,ベータ-ブチロラクトン,ベータ-ブチロラクトン,4-methyloxetan-2-one; (+/-)-4-methyloxetan-2-one,m-nite-3068-88-0,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3068-88-0.html,-,https://anzeninfo.mhlw.go.jp/anzen/gmsds/0943.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,86.09,71,-0.38,,268,g/L,1.65,mmHg,,,,,,,,,,,,,
3078-97-5,ジエチルパラジメチルアミノスルホニルフェニルチオホスフェイト,ジエチルパラジメチルアミノスルホニルフェニルチオホスフェイト,diethyl-paradimethyl amino sulfonyl phenyl thiophosphrte,m-nite-3078-97-5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3078-97-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3078-97-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3078-97-5.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,353.39,,,,,,,,,,,,,,,,,,,,
3090-36-6,トリブチルスズ=ラウラート,トリブチルスズ=ラウラート,Tributyl(lauroyloxy)stannane,m-nite-3090-36-6,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3090-36-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3090-36-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3090-36-6.html,,,,,,,,,,,,,,,0.1,,0.2,,,"organic compounds, as Sn",Skin,1996,,,,,,,2,489.35,156,8.15,,1,mg/L,,,,,,,,,,,,,,,
3115-68-2,テトラブチルホスホニウム=ブロミド,テトラブチルホスホニウム=ブロミド,Tetrabutylphosphoniumbromide,m-nite-3115-68-2,,,,,,,,,,,,,,,,,,,,,,,2,,,1B,,,,,,,2,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3115-68-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3115-68-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3115-68-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1.66,290,274,mg/L,,,1,,,1,,,,,,,,,
3120-74-9,3-メチル-4-メチルチオフェノール,3-メチル-4-メチルチオフェノール,3-Methyl-4-methylthiophenol,m-nite-3120-74-9,,,,,,,,,,,,,,,,,,,3,,,,2,2A,,,,,,,,,3,3,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3120-74-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3120-74-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3120-74-9.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,154.23,,2.809,158,1480,mg/L,,,,,,,,,,,,,,,
3121-61-7,アクリル酸2-メトキシエチル,アクリル酸2-メトキシエチル,2-Methoxyethyl acrylate,m-nite-3121-61-7,,,,,,4,,,,,,,,,,,,4,3,,3,,1,1,,1,,,1B,,,,2,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3121-61-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3121-61-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3121-61-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,130.14,67,0.56,82.2,37700,mg/L,4.49,mmHg,1,,,1,,,,,,,,,
3129-91-7,ジシクロヘキシルアミン・亜硝酸塩,ジシクロヘキシルアミン・亜硝酸塩,dicyclohexylammonium nitrite,m-nite-3129-91-7,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3129-91-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3129-91-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3129-91-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4.37,185,103,mg/L,0.02,mmHg,,,,,,,,,,,,,
3132-64-7,エピブロモヒドリン,エピブロモヒドリン,Epibromohydrin,m-nite-3132-64-7,,,,,,3,,G,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3132-64-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3132-64-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3132-64-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,136.98,134.6,0.85,59,39000,mg/L,9.9,mmHg,,,,,,,,,,,,,
3165-93-3,４－クロロ－２－メチルアニリン塩酸塩,４－クロロ－２－メチルアニリン塩酸塩,4-chloro-o-toluidinium chloride,m-nite-3165-93-3,,,,,,,,,,,,,,,,,,4,,,,,,,,,2,1B,,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3165-93-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3165-93-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3165-93-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,178.06,,2.27,,954,mg/L,5.44,Pa,,1,,,,,,,,,,,
3173-72-6,"1,5‐ナフタレン ジイソシアネート","1,5‐ナフタレン ジイソシアネート","1,5-naphthylene diisocyanate",m-nite-3173-72-6,,,,,,,,,,,,,,,,,,,,,,2,2,2A,1,,,,,3,2,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3173-72-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3173-72-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3173-72-6.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,210.19,,,192,,,,,1,,,1,,,,,,,,,
3209-22-1,"1,2-ジクロロ-3-ニトロベンゼン","1,2-ジクロロ-3-ニトロベンゼン","1,2-Dichloro-3-nitrobenzene",m-nite-3209-22-1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,2,,2,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3209-22-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3209-22-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3209-22-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,192,,3.05,123,74,mg/L,,,,,,,,,,,,,,,
3228-02-2,４－イソプロピル－３－メチルフェノール,４－イソプロピル－３－メチルフェノール,4-Isopropyl-3-methylphenol,m-nite-3228-02-2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,2,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3228-02-2.html,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.22,,,,210,mg/L,,,1,,,1,,,,,,,,,
3248-91-7,マゼンタIII,マゼンタIII,Magenta,m-nite-3248-91-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3248-91-7.html,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
3268-49-3,3-メチルチオプロパナール,3-メチルチオプロパナール,3-(Methylsulfanyl)propanal,m-nite-3268-49-3,,,,,,4,,,,,,,,,,,,4,3,,3,,2,1,,1,,,,1,2,,1,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3268-49-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3268-49-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3268-49-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,104.17,165,-0.16,63,17.5,g/100mL,100,Pa,1,,,1,,,,,,,,,
3281-96-7,"3,5-ジブロム-4-ヒドロキシ-4'-ニトロアゾベンゼン","3,5-ジブロム-4-ヒドロキシ-4'-ニトロアゾベンゼン","3,5-Dibromo-4'-nitroazobenzen-4-ol",m-nite-3281-96-7,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3281-96-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3281-96-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3281-96-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,401.01,,,,,,,,,,,,,,,,,,,,
3282-30-2,"2,2-ジメチルプロパノイルクロライド","2,2-ジメチルプロパノイルクロライド","2,2-Dimethylpropanoyl chloride",m-nite-3282-30-2,,,,,,2,,,,,,,,,,,,4,,,2,,1,2A,,,,,,1,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3282-30-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3282-30-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3282-30-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,120.58,107,,19,,,,,1,,,1,,,,,,,,,
3296-90-0,"2,2‐ビス（ブロモメチル）プロパン‐1,3‐ジオール（別名ジブロモネオペンチルグリコール）","2,2‐ビス（ブロモメチル）プロパン‐1,3‐ジオール（別名ジブロモネオペンチルグリコール）","2,2-Bis(bromomethyl)propane-1,3-diol; Dibromoneopentylglycol",m-nite-3296-90-0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1B,2,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3296-90-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3296-90-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3296-90-0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,261.94,,1.06,,38000,mg/L,,,,,,,,,,,,,,,
3309-87-3,ジメチル-S-パラクロルフェニルチオホスフェイト,ジメチル-S-パラクロルフェニルチオホスフェイト,Fujithion,m-nite-3309-87-3,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3309-87-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3309-87-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3309-87-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,252.65,124,1.9,,542,mg/L,0.0000885,mmHg,,,,,,,,,,,,,
3327-22-8,3-クロロ-2-ヒドロキシプロパ-1-イル(トリメチル)アミニウム＝クロリド,3-クロロ-2-ヒドロキシプロパ-1-イル(トリメチル)アミニウム＝クロリド,3-Chloro-2-hydroxyprop-1-yl(trimethyl)aminium chlorode,m-nite-3327-22-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3327-22-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3327-22-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3327-22-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,188.09,190,-1.5,,835.2,g/L,3.37E-09,mmHg,,,,,,,,,,,,,
3332-27-2,テトラデシルジメチルアミンオキシド,テトラデシルジメチルアミンオキシド,Tetradecyldimethylamine oxide,m-nite-3332-27-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3332-27-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3332-27-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3332-27-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,257.46,,5.66,100,10,g/L,,,,,,,,,,,,,,,
3333-52-6,テトラメチルコハク酸ニトリル,テトラメチルコハク酸ニトリル,Tetramethyl succinonitrile,m-nite-3333-52-6,,,,,,,,,,,,,,,,,,2,2,,,2,,,,,,,,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3333-52-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3333-52-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3333-52-6.html,,,,,,,,,,,,,,,0.5,,,,,,Skin,2019,,,,,,,2,136.2,,1.11,,,,,,1,,,1,,,,,,,,,
3347-22-6,２，３－ジシアノ－１，４－ジチアアントラキノン (別名：ジチアノン),２，３－ジシアノ－１，４－ジチアアントラキノン (別名：ジチアノン),"2,3-dicyano-1,4-dithiaanthraquinone; Dithianon",m-nite-3347-22-6,,,,,,,,,,,,,,,,,,4,,,,2,,1,,1,,2,2,1,2,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3347-22-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3347-22-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3347-22-6.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,296.32,,2.84,,1,mg/L,,,1,,,1,,,,,,,,,
3380-34-5,５－クロロ－２－（２，４－ジクロロフェノキシ）フェノール　（別名：トリクロサン）,５－クロロ－２－（２，４－ジクロロフェノキシ）フェノール　（別名：トリクロサン）,"triclosan; 2,4,4'-trichloro-2'-hydroxy-diphenyl-ether; 5-chloro-2-(2,4-dichlorophenoxy)phenol",m-nite-3380-34-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3380-34-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3380-34-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3380-34-5.html,,,,,,,,,,,,,,,1,,,,,,Skin,2023,,,,,,,2,289.55,,5.84,,0.01,g/L,,,,,,,,,,,,,,,
3383-96-8,テメホス,テメホス,Temephos,m-nite-3383-96-8,,,,,,,,,,,,,,,,,,,3,,,,,2B,,,,,,2,1,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3383-96-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3383-96-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3383-96-8.html,,,,,,,,,,,,,,,1,,,,,,Skin,2019,,,,,,,2,466.48,120,5.96,,,,11.5,Pa,1,,,1,,,,,,,,,
3391-86-4,1-オクテン-3-オール,1-オクテン-3-オール,1-Octen-3-ol,m-nite-3391-86-4,,,,,,4,,,,,,,,,,,,4,,,,,,,,1,,,,3,,,2,3,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3391-86-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3391-86-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3391-86-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,128.21,175,2.6,61,1932,mg/L,0.238,mmHg,1,,,1,,,,,,,,,
3452-97-9,"3,5,5-トリメチル-1-ヘキサノール","3,5,5-トリメチル-1-ヘキサノール","3,5,5-Trimethyl-1-hexanol",m-nite-3452-97-9,,,,,,4,,,,,,,,,,,,4,,,,,2,2A,,,,,2,,2,,2,3,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3452-97-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3452-97-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3452-97-9.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,144.26,193,3.42,93,572,mg/L,0.23,mmHg,,,,,,,,,,,,,
3454-29-3,２，２’－［（｛２－エチル－２－［（オキシラン－２－イルメトキシ）メチル］プロパン－１，３－ジイル｝ビス（オキシ））ビス（メチレン）］ビス（オキシラン）,２，２’－［（｛２－エチル－２－［（オキシラン－２－イルメトキシ）メチル］プロパン－１，３－ジイル｝ビス（オキシ））ビス（メチレン）］ビス（オキシラン）,"2,2'-[({2-Ethyl-2-[(oxiran-2-ylmethoxy)methyl]propane-1,3-diyl}bis(oxy))bis(methylene)]bis(oxirane)",m-nite-3454-29-3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3454-29-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3454-29-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3454-29-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,302.36,,,,,,,,,,,,,,,,,,,,
3457-61-2,ターシャリ‐ブチル＝クミル＝ペルオキシド,ターシャリ‐ブチル＝クミル＝ペルオキシド,"tert-butyl alpha,alpha-dimethylbenzyl peroxide",m-nite-3457-61-2,,,,,,3,,,,,,,,,E,,,4,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3457-61-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3457-61-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3457-61-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,208.3,233,4.94,55,,,500,Pa,,,,,,,,,,,,,
3524-68-3,ペンタエリスリトールトリアクリレート,ペンタエリスリトールトリアクリレート,Pentaerythritol triacrylate,m-nite-3524-68-3,,,,,,,,,,,,,,,,,,4,,,,,2,1,,1A,,2,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3524-68-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3524-68-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3524-68-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,298.29,,0.91,110,6830,mg/L,0.01,mmHg,1,,,1,,,,,,,,,
3531-19-9,"2-クロロ-4,6-ジニトロアニリン","2-クロロ-4,6-ジニトロアニリン","2-Chloro-4,6-dinitroaniline",m-nite-3531-19-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3531-19-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3531-19-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3531-19-9.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,217.57,,,,,,,,,,,,,,,,,,,,
3542-36-7,ジクロロジオクチルスズ,ジクロロジオクチルスズ,Dichlorodioctylstannane,m-nite-3542-36-7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1B,,1,,,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3542-36-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3542-36-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3542-36-7.html,,,,,,,,,,,,,,,0.1,,0.2,,,,Skin,1996,,,,,,,2,416.04,175,5.82,,1.6,mg/L,5.16E-06,hPa,,,,,,,,,,,,,
3564-09-8,"ジナトリウム=3-ヒドロキシ-4-[（2,4,5-トリメチルフェニル）アゾ]-2,7-ナフタレンジスルホナート【ポンソー3R】","ジナトリウム=3-ヒドロキシ-4-[（2,4,5-トリメチルフェニル）アゾ]-2,7-ナフタレンジスルホナート【ポンソー3R】","disodium 3-hydroxy-4-[(2,4,5-trimethylphenyl)azo]naphthalene-2,7-disulphonate",m-nite-3564-09-8,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3564-09-8.html,-,https://anzeninfo.mhlw.go.jp/anzen/gmsds/0788.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,494.46,,0.46,,438,mg/L,21,Pa,,,,,,,,,,,,,
3570-75-0,（２－ホルミルヒドラジノ）－４－（５－ニトロ－２－フリル）チアゾール　  (別名：ニフルチアゾール）,（２－ホルミルヒドラジノ）－４－（５－ニトロ－２－フリル）チアゾール　  (別名：ニフルチアゾール）,2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole; Nifurthiazole,m-nite-3570-75-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3570-75-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3570-75-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3570-75-0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,254.22,,0.99,,124,mg/L,,,,,,,,,,,,,,,
3618-72-2,"5'-[N,N-ビス（2-アセチルオキシエチル）アミノ]-2'-（2-ブロモ-4,6-ジニトロフェニルアゾ）-4'-メトキシアセトアニリド","5'-[N,N-ビス（2-アセチルオキシエチル）アミノ]-2'-（2-ブロモ-4,6-ジニトロフェニルアゾ）-4'-メトキシアセトアニリド","5'-[N,N-Bis(2-acetyloxyethyl)amino]-2'-(2-bromo-4,6-dinitrophenylazo)-4'-methoxyacetanilide",m-nite-3618-72-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3618-72-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3618-72-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3618-72-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,625.39,,5.04,,0.00322,mg/L,,,,,,,,,,,,,,,
3648-18-8,ジオクチルビス［（１－オキソドデシル）オキシ］スズ（別名ジオクチルスズジラウレート）,ジオクチルビス［（１－オキソドデシル）オキシ］スズ（別名ジオクチルスズジラウレート）,Dioctylbis[(1-oxododecyl)oxy]stannane; Dioctyltin dilaurate,m-nite-3648-18-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3648-18-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3648-18-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3648-18-8.html,,,,,,,,,,,,,,,0.1,,0.2,,,,Skin,1996,,,,,,,1,743.77,,,,,,,,,,,,,,,,,,,,
3648-20-2,"1,2-ベンゼンジカルボン酸、ジ-C11-アルキルエステル","1,2-ベンゼンジカルボン酸、ジ-C11-アルキルエステル","Dialkyl(C=11) 1,2-benzenedicarboxylate",m-nite-3648-20-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3648-20-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3648-20-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3648-20-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,474.72,,4.95,,1.39,mg/L,,,,,,,,,,,,,,,
3648-21-3,フタル酸ジ‐ノルマル‐ヘプチル,フタル酸ジ‐ノルマル‐ヘプチル,Di-n-heptyl phthalate,m-nite-3648-21-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-3648-21-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab3648-21-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/3648-21-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,362.51,360,7.6,113,0.00183,mg/L,0.00000207,mmHg,,,,,,,,,,,,,
