分類,名前の定義,項目,選択肢,Key,値,,,,,,,,,
GHS,listGHSOrgPerox,有機過酸化物,タイプF,GHS有機過酸化物タイプF,F,,,,,,,,,
GHS,listGHSOrgPerox,有機過酸化物,タイプG,GHS有機過酸化物タイプG,G,,,,,,,,,
GHS,listGHSMetCorr,金属腐食性化学品,区分1,GHS金属腐食性化学品区分1,1,,,,,,,,,
GHS,listGHSInertExplosives,鈍性化爆発物,区分1,GHS鈍性化爆発物区分1,1,,,,,,,,,
GHS,listGHSInertExplosives,鈍性化爆発物,区分2,GHS鈍性化爆発物区分2,2,,,,,,,,,
GHS,listGHSInertExplosives,鈍性化爆発物,区分3,GHS鈍性化爆発物区分3,3,,,,,,,,,
GHS,listGHSInertExplosives,鈍性化爆発物,区分4,GHS鈍性化爆発物区分4,4,,,,,,,,,
GHS,listGHSAcuteToxOral,急性毒性（経口）,区分1,GHS急性毒性（経口）区分1,1,,,,,,,,,
GHS,listGHSAcuteToxOral,急性毒性（経口）,区分2,GHS急性毒性（経口）区分2,2,,,,,,,,,
GHS,listGHSAcuteToxOral,急性毒性（経口）,区分3,GHS急性毒性（経口）区分3,3,,,,,,,,,
GHS,listGHSAcuteToxOral,急性毒性（経口）,区分4,GHS急性毒性（経口）区分4,4,,,,,,,,,
GHS,listGHSAcuteToxDermal,急性毒性（経皮）,区分1,GHS急性毒性（経皮）区分1,1,,,,,,,,,
GHS,listGHSAcuteToxDermal,急性毒性（経皮）,区分2,GHS急性毒性（経皮）区分2,2,,,,,,,,,
GHS,listGHSAcuteToxDermal,急性毒性（経皮）,区分3,GHS急性毒性（経皮）区分3,3,,,,,,,,,
GHS,listGHSAcuteToxDermal,急性毒性（経皮）,区分4,GHS急性毒性（経皮）区分4,4,,,,,,,,,
GHS,listGHSAcuteToxInhalationGases,急性毒性（吸入：ガス）,区分1,GHS急性毒性（吸入：ガス）区分1,1,,,,,,,,,
GHS,listGHSAcuteToxInhalationGases,急性毒性（吸入：ガス）,区分2,GHS急性毒性（吸入：ガス）区分2,2,,,,,,,,,
GHS,listGHSAcuteToxInhalationGases,急性毒性（吸入：ガス）,区分3,GHS急性毒性（吸入：ガス）区分3,3,,,,,,,,,
GHS,listGHSAcuteToxInhalationGases,急性毒性（吸入：ガス）,区分4,GHS急性毒性（吸入：ガス）区分4,4,,,,,,,,,
GHS,listGHSAcuteToxInhalationVapors,急性毒性（吸入：蒸気）,区分1,GHS急性毒性（吸入：蒸気）区分1,1,,,,,,,,,
GHS,listGHSAcuteToxInhalationVapors,急性毒性（吸入：蒸気）,区分2,GHS急性毒性（吸入：蒸気）区分2,2,,,,,,,,,
GHS,listGHSAcuteToxInhalationVapors,急性毒性（吸入：蒸気）,区分3,GHS急性毒性（吸入：蒸気）区分3,3,,,,,,,,,
GHS,listGHSAcuteToxInhalationVapors,急性毒性（吸入：蒸気）,区分4,GHS急性毒性（吸入：蒸気）区分4,4,,,,,,,,,
GHS,listGHSAcuteToxInhalationDustOrMist,急性毒性（吸入：粉塵、ミスト）,区分1,GHS急性毒性（吸入：粉塵、ミスト）区分1,1,,,,,,,,,
GHS,listGHSAcuteToxInhalationDustOrMist,急性毒性（吸入：粉塵、ミスト）,区分2,GHS急性毒性（吸入：粉塵、ミスト）区分2,2,,,,,,,,,
GHS,listGHSAcuteToxInhalationDustOrMist,急性毒性（吸入：粉塵、ミスト）,区分3,GHS急性毒性（吸入：粉塵、ミスト）区分3,3,,,,,,,,,
GHS,listGHSAcuteToxInhalationDustOrMist,急性毒性（吸入：粉塵、ミスト）,区分4,GHS急性毒性（吸入：粉塵、ミスト）区分4,4,,,,,,,,,
GHS,listGHSSkinCorrOrIrrit,皮膚腐食性／刺激性,区分1,GHS皮膚腐食性／刺激性区分1,1,,,,,,,,,
GHS,listGHSSkinCorrOrIrrit,皮膚腐食性／刺激性,区分1A,GHS皮膚腐食性／刺激性区分1A,1A,,,,,,,,,
GHS,listGHSSkinCorrOrIrrit,皮膚腐食性／刺激性,区分1B,GHS皮膚腐食性／刺激性区分1B,1B,,,,,,,,,
GHS,listGHSSkinCorrOrIrrit,皮膚腐食性／刺激性,区分1C,GHS皮膚腐食性／刺激性区分1C,1C,,,,,,,,,
GHS,listGHSSkinCorrOrIrrit,皮膚腐食性／刺激性,区分2,GHS皮膚腐食性／刺激性区分2,2,,,,,,,,,
